#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.81e+07  |1650657279|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.49229632|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.97107484|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98526053|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.89905948|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.35147781|  PASSED  
        diehard_opso|   0|   2097152|     100|0.70164321|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.60513366|  PASSED  
         diehard_dna|   0|   2097152|     100|0.71856156|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.80910361|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.44112375|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.54459758|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99911230|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.83637080|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.23046884|  PASSED  
        diehard_sums|   0|       100|     100|0.04988061|  PASSED  
        diehard_runs|   0|    100000|     100|0.84057337|  PASSED  
        diehard_runs|   0|    100000|     100|0.06129327|  PASSED  
       diehard_craps|   0|    200000|     100|0.68436050|  PASSED  
       diehard_craps|   0|    200000|     100|0.71022173|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.74868033|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.31412407|  PASSED  
         sts_monobit|   1|    100000|     100|0.98239897|  PASSED  
            sts_runs|   2|    100000|     100|0.30645554|  PASSED  
          sts_serial|   1|    100000|     100|0.74003555|  PASSED  
          sts_serial|   2|    100000|     100|0.60775804|  PASSED  
          sts_serial|   3|    100000|     100|0.98412129|  PASSED  
          sts_serial|   3|    100000|     100|0.95038750|  PASSED  
